Price,Bedrooms,Bathrooms,SqFt,City,Province,Year_Built,Type,Garage,Lot_Area
437661,5,1,1468,Ottawa,QC,2004,Condo,1,9603
288396,3,1,2110,Vancouver,QC,1960,House,1,8566
393022,1,3,2906,Ottawa,BC,1962,House,1,3320
291668,4,3,2718,Montreal,QC,2010,Condo,1,7106
648422,4,3,1839,Vancouver,ON,2013,Apartment,0,3070
773133,3,2,2515,Montreal,BC,1952,Condo,0,4224
845843,1,3,3909,Montreal,ON,1960,Condo,1,4247
406330,2,2,1635,Montreal,QC,1951,Condo,1,3280
700784,5,1,3884,Toronto,AB,1965,Condo,1,6783
354342,1,1,2169,Ottawa,ON,2006,Apartment,0,1319
730542,5,2,2313,Calgary,ON,1950,Condo,0,7194
234388,2,1,1211,Vancouver,QC,1960,House,1,5904
776199,5,1,3385,Toronto,BC,2003,House,0,9006
521835,4,3,2342,Ottawa,ON,2012,Condo,1,8097
936534,1,1,1539,Toronto,ON,1989,House,1,7068
281377,5,2,1404,Vancouver,ON,2009,Condo,1,2536
633035,3,1,2392,Vancouver,QC,2007,Condo,0,8208
660314,1,1,2730,Montreal,QC,1992,Condo,0,8854
994309,4,1,2239,Calgary,BC,1961,Condo,0,9547
829783,4,2,2016,Vancouver,BC,1972,Condo,1,7763
950457,4,3,1705,Toronto,ON,1961,House,0,2182
499794,1,2,3142,Ottawa,AB,1957,Condo,0,7207
536180,5,1,2523,Montreal,QC,1959,House,1,6676
435672,5,1,1279,Vancouver,ON,1985,Apartment,1,2821
199633,3,2,920,Vancouver,ON,1990,House,0,3772
869804,2,2,1618,Calgary,AB,1993,House,1,9912
825522,3,3,1515,Vancouver,BC,1998,Condo,1,5503
619633,1,1,843,Calgary,BC,2020,House,0,8348
240801,3,3,2809,Vancouver,ON,1952,House,0,3281
727628,5,1,1912,Calgary,QC,2017,House,0,8720
394773,5,1,2068,Montreal,BC,2012,House,1,1552
811736,1,2,2205,Vancouver,QC,2020,Condo,1,6237
228945,5,1,2383,Toronto,AB,2020,Condo,0,7426
370678,2,3,1981,Calgary,AB,1959,House,0,6838
737443,4,3,3263,Vancouver,QC,1992,Condo,0,4129
823417,3,3,2256,Montreal,ON,1975,Condo,0,7988
980231,1,2,2643,Montreal,BC,2014,House,1,6278
633993,3,1,2800,Montreal,ON,1994,Apartment,1,3065
695851,4,2,2448,Montreal,QC,2015,House,1,4628
734115,1,1,3366,Calgary,QC,1951,House,1,7699
129427,5,1,1905,Montreal,QC,2006,Apartment,0,1133
651928,4,1,1615,Toronto,QC,1982,House,1,6046
240510,5,3,2396,Montreal,AB,1953,House,1,8853
346022,5,3,1491,Calgary,ON,2022,House,0,6771
442281,3,2,1520,Calgary,BC,2002,Apartment,0,9407
903927,2,2,3186,Calgary,AB,1978,Apartment,1,7890
207534,4,2,3358,Ottawa,AB,1973,Condo,0,8017
147078,5,2,2773,Calgary,ON,2007,Apartment,0,9743
160281,5,1,1049,Toronto,QC,1998,House,1,8848
789350,1,3,2255,Calgary,ON,1996,House,1,3963
663340,5,1,3378,Calgary,QC,1995,Apartment,1,2499
854102,2,2,1243,Montreal,ON,1955,Condo,1,8763
921787,4,2,2352,Vancouver,BC,1972,Condo,1,8288
700870,5,2,3295,Ottawa,QC,1983,House,1,7040
140337,1,2,3761,Vancouver,BC,1979,Apartment,0,6199
636509,1,3,1231,Calgary,QC,1958,House,0,1305
413198,3,2,1765,Ottawa,QC,1951,Condo,0,9768
906730,4,3,2987,Vancouver,BC,2009,Condo,1,7976
322051,5,3,3540,Toronto,QC,2019,House,0,5607
578836,5,3,1164,Vancouver,ON,1986,Apartment,1,5229
218883,4,2,992,Calgary,QC,1977,House,0,5000
741217,2,2,2771,Calgary,AB,1988,Apartment,0,3804
168399,4,3,3870,Vancouver,ON,1968,House,0,8872
931504,3,1,3565,Vancouver,AB,2011,Apartment,1,5306
396581,3,2,869,Toronto,BC,1989,House,1,9491
720904,3,2,3280,Vancouver,BC,2013,Condo,0,6000
633613,3,2,1207,Calgary,ON,1975,Apartment,0,3101
203510,5,3,1091,Montreal,QC,1958,House,0,6411
235214,3,3,2689,Calgary,QC,2012,Apartment,0,3249
807899,1,2,1839,Vancouver,ON,1951,Condo,0,2528
717881,4,3,1252,Toronto,ON,1975,Apartment,1,8007
799693,5,1,3424,Montreal,AB,2012,Apartment,1,4003
873553,3,1,1895,Calgary,ON,1971,House,0,7407
425376,5,2,3204,Ottawa,AB,1994,Condo,0,4957
535619,1,1,2342,Calgary,AB,2022,Condo,1,7123
890429,5,3,1600,Vancouver,QC,1981,Apartment,1,4849
590881,4,1,2423,Vancouver,AB,1951,Apartment,1,9904
248435,4,1,2484,Calgary,AB,1971,House,0,4847
387556,1,2,2836,Vancouver,ON,1950,Condo,0,8558
459326,2,3,1427,Toronto,AB,1971,Condo,1,5511
603645,3,2,1576,Calgary,ON,1986,Condo,0,1069
624609,2,1,3531,Toronto,QC,1971,Condo,0,2114
677396,1,1,889,Toronto,ON,1979,Apartment,0,7781
530846,1,1,2509,Ottawa,BC,1969,House,1,2212
446060,5,2,2861,Montreal,ON,1999,Apartment,1,4885
305123,5,3,2249,Toronto,ON,1980,House,0,1461
485843,2,1,1542,Calgary,BC,1985,Condo,1,5922
636199,5,1,1756,Vancouver,AB,1988,Condo,1,4450
436870,4,2,1617,Ottawa,QC,1960,Apartment,1,1804
967469,2,2,3793,Vancouver,BC,2022,Condo,1,2000
456764,5,1,3766,Calgary,ON,1996,Apartment,0,7375
515084,4,2,1984,Vancouver,AB,2008,Apartment,0,2236
232415,3,1,1281,Montreal,AB,1979,Condo,1,8859
784372,2,2,1737,Vancouver,ON,1956,Apartment,0,8434
349764,4,2,3878,Vancouver,QC,1991,House,1,7562
320791,2,1,2571,Ottawa,BC,1986,House,1,9502
319632,2,1,1963,Calgary,ON,2010,House,1,6989
118912,4,1,3209,Vancouver,AB,2020,Condo,1,9961
560153,1,2,3447,Toronto,AB,1979,House,1,4257
936008,3,1,1794,Toronto,ON,2018,Condo,0,3608
410744,1,1,972,Ottawa,QC,1976,House,1,6378
672276,4,1,3915,Calgary,ON,1987,Apartment,0,1303
913818,5,3,1993,Vancouver,ON,1996,Condo,1,2495
934495,2,3,1391,Vancouver,QC,2020,House,0,2610
910477,2,3,2168,Vancouver,BC,1991,Condo,0,5541
644845,4,1,1961,Calgary,BC,1987,Condo,0,3563
618152,4,2,2421,Toronto,BC,2016,Apartment,1,1237
279406,4,3,3598,Toronto,ON,2009,Apartment,1,3284
940070,4,3,1185,Calgary,BC,1962,House,0,2969
156385,2,2,3074,Ottawa,QC,2021,Condo,1,9195
252798,3,2,2550,Vancouver,AB,2015,Apartment,0,6691
269158,4,3,2208,Calgary,QC,1983,Apartment,0,6436
973000,1,3,820,Montreal,QC,2013,House,1,7535
243223,4,1,2757,Toronto,AB,2014,Apartment,0,6078
904810,2,3,2199,Calgary,QC,2021,Condo,1,7175
336620,4,3,815,Vancouver,ON,1975,Condo,0,1541
403564,3,2,1382,Toronto,ON,1983,Apartment,1,3365
248970,2,2,3140,Ottawa,BC,2014,House,0,4547
342299,5,2,3316,Calgary,QC,1982,House,0,4205
978065,2,1,818,Montreal,ON,1952,House,1,7779
792359,1,2,953,Vancouver,ON,1961,Apartment,0,8147
410029,5,3,1236,Montreal,AB,1958,Apartment,1,9221
920652,1,3,1019,Montreal,ON,1978,Condo,1,6489
690587,5,1,2399,Montreal,ON,2005,Apartment,1,6253
291745,1,1,3498,Montreal,BC,1968,Condo,1,1153
171415,3,1,2437,Calgary,AB,1981,House,1,3319
804169,5,2,2300,Ottawa,ON,1961,Condo,1,2409
887662,5,2,2239,Vancouver,ON,1955,Condo,1,5795
201816,5,1,1043,Vancouver,QC,1953,House,0,1763
147575,1,3,2029,Vancouver,QC,1992,Condo,1,8177
530655,5,2,2886,Toronto,BC,1955,Apartment,0,3621
305281,5,3,1214,Montreal,QC,1978,Condo,1,7004
905379,1,2,3478,Calgary,QC,1980,Condo,1,8392
632497,3,3,3244,Calgary,BC,1965,House,0,5948
801528,2,2,2864,Calgary,BC,1966,Apartment,1,2711
883086,5,2,1161,Vancouver,QC,1956,Apartment,1,2011
381815,1,1,1260,Ottawa,AB,1955,Apartment,1,6017
309093,4,3,2253,Ottawa,QC,1958,Condo,0,3174
602369,3,3,1749,Toronto,QC,1971,Apartment,1,4472
110802,5,1,2277,Calgary,BC,2021,Condo,1,2021
979973,5,3,1398,Toronto,AB,1964,Condo,0,1297
375586,5,2,1143,Toronto,QC,1982,Apartment,0,7767
418098,4,2,2382,Calgary,QC,1999,Apartment,0,6064
392654,4,1,3438,Toronto,ON,2009,Apartment,0,2806
616653,5,3,3721,Vancouver,ON,1984,Condo,0,6565
599641,3,1,3516,Vancouver,BC,1950,Condo,1,6636
436803,2,2,2356,Vancouver,ON,2002,Condo,1,4680
138418,4,3,2369,Toronto,AB,1977,Apartment,1,9766
438395,5,3,1725,Vancouver,BC,2016,Apartment,0,8233
505430,1,1,3805,Ottawa,ON,1987,Apartment,1,6180
340119,5,3,3215,Montreal,BC,2005,Condo,0,1416
119006,5,3,3793,Ottawa,ON,1996,House,0,2318
544043,3,3,2775,Calgary,BC,1980,Condo,0,3807
744506,2,3,957,Vancouver,AB,2019,House,0,1738
274172,4,1,811,Montreal,BC,1963,Condo,1,1352
460440,1,1,1162,Montreal,QC,2015,Condo,0,7145
456234,3,2,3552,Montreal,QC,2012,Apartment,0,4354
598221,3,2,3007,Ottawa,BC,1975,Condo,1,4537
409882,3,2,3858,Montreal,AB,1976,Condo,0,3592
874586,3,2,3019,Ottawa,ON,2007,House,1,8540
803675,3,2,1164,Montreal,QC,2013,Condo,1,1721
583735,3,2,2664,Ottawa,ON,2002,Apartment,1,4846
845753,2,3,2023,Toronto,ON,1978,House,1,4010
709051,2,2,2605,Montreal,ON,1970,Condo,1,2068
313433,1,3,3785,Ottawa,ON,1955,House,1,9413
629006,3,3,3308,Ottawa,ON,2012,Apartment,1,4679
242843,4,1,3498,Toronto,ON,1961,Apartment,1,8277
186275,3,1,3392,Vancouver,AB,2016,Condo,1,1761
236803,1,2,2770,Ottawa,BC,2001,House,1,8743
635246,1,2,3312,Montreal,ON,1980,Apartment,0,2481
946779,1,1,2254,Ottawa,ON,2001,House,0,8110
946256,1,1,1067,Calgary,BC,2011,House,0,9146
895960,4,1,854,Vancouver,AB,1972,House,1,5587
770679,5,1,2185,Calgary,AB,1961,Apartment,0,7464
911863,2,2,2773,Montreal,QC,1991,Condo,1,4660
379140,1,3,2076,Vancouver,ON,2007,Apartment,0,5317
991780,4,3,3194,Calgary,ON,1968,Apartment,1,3595
942864,2,2,910,Calgary,ON,2005,House,1,5044
503768,1,3,1849,Vancouver,QC,1996,House,0,8865
651484,3,2,3604,Montreal,ON,2009,House,0,6361
770345,1,2,3788,Ottawa,AB,1950,Apartment,1,1940
850786,3,3,3539,Montreal,QC,1967,House,1,4590
686725,1,1,2704,Calgary,ON,2020,House,1,5115
864577,2,2,854,Vancouver,BC,1992,House,1,6362
563941,5,1,3262,Toronto,BC,1950,Apartment,1,4169
799785,4,1,3121,Vancouver,AB,1952,Apartment,0,2417
752495,3,1,3349,Toronto,ON,2010,House,0,3530
302268,5,1,1755,Toronto,QC,1967,Apartment,1,9952
964578,4,2,2163,Montreal,BC,1975,Condo,1,7856
667012,3,1,3158,Calgary,ON,2009,House,0,6129
806307,4,3,1986,Ottawa,QC,1972,Condo,1,4886
814672,3,1,2174,Toronto,AB,1994,Apartment,0,2773
148899,4,1,985,Toronto,ON,2014,Apartment,1,6850
117115,1,1,2202,Ottawa,AB,1994,House,1,9541
785751,4,1,2867,Calgary,ON,1961,Condo,0,9210
751554,2,3,982,Ottawa,ON,1969,House,1,3128
414661,1,3,1222,Vancouver,AB,2006,Condo,0,9687
881617,3,3,3753,Montreal,ON,1993,Apartment,1,9449
769525,5,2,3767,Calgary,ON,1952,Condo,0,8938
375097,4,1,3705,Calgary,AB,1951,Condo,0,5789
432986,5,2,3506,Calgary,BC,1997,Apartment,1,6960
690018,1,2,3403,Montreal,ON,1966,Condo,1,3039
793549,4,2,2289,Calgary,QC,2022,Condo,1,2666
840362,1,2,1863,Calgary,ON,1995,House,1,3534
195368,2,3,2065,Montreal,ON,1966,House,1,1378
248213,4,3,3829,Montreal,ON,1977,Condo,1,5984
711296,5,2,3960,Toronto,BC,1959,House,1,2496
904121,3,3,3097,Vancouver,ON,2011,Apartment,0,2938
865507,1,3,886,Ottawa,ON,1981,Apartment,0,5558
974099,2,3,2847,Toronto,ON,1994,Apartment,1,3336
955361,1,3,997,Calgary,ON,1952,House,1,7026
280678,5,3,1283,Toronto,BC,1997,Apartment,1,7713
904707,5,2,1056,Ottawa,BC,2021,Apartment,1,9079
750919,4,1,1084,Toronto,QC,1969,House,1,3795
365170,5,1,3289,Toronto,BC,1981,Condo,0,8142
728956,1,1,2653,Calgary,BC,1960,House,0,8310
811078,1,1,2112,Vancouver,ON,1999,House,1,8069
754213,4,2,1027,Calgary,QC,1975,House,0,2645
651049,2,3,3225,Ottawa,AB,1966,House,1,8354
470856,2,1,3044,Montreal,ON,2019,Apartment,0,4583
326810,5,3,3427,Toronto,ON,1977,House,0,1675
483191,3,1,1765,Calgary,ON,2020,Apartment,0,2164
869429,2,1,3707,Montreal,BC,1998,Apartment,1,8576
303570,3,1,933,Montreal,AB,1988,Apartment,0,5915
122436,2,3,827,Toronto,ON,1979,Apartment,1,8477
160460,3,2,3849,Toronto,QC,1956,House,0,3325
362748,1,2,2608,Ottawa,BC,2015,Condo,0,2253
974833,5,3,2698,Toronto,AB,1958,House,0,7185
766599,5,1,3579,Toronto,BC,2017,Condo,1,1701
264972,3,3,1126,Toronto,QC,1997,Condo,1,7143
294408,5,2,1247,Ottawa,ON,1994,House,0,9722
432023,2,2,2232,Vancouver,QC,2012,Apartment,1,1778
996759,2,2,2290,Ottawa,QC,1965,House,1,2188
209582,4,1,1142,Calgary,AB,2000,House,1,1205
984247,4,3,3052,Montreal,AB,1988,Apartment,0,6253
987614,1,3,1313,Calgary,ON,1983,House,0,1474
100924,3,2,3682,Ottawa,AB,1997,House,0,8651
844053,4,1,1787,Montreal,AB,1981,Condo,1,6651
913648,2,1,1887,Ottawa,ON,1959,House,0,9567
679822,1,2,1009,Montreal,AB,2012,House,1,2379
619320,3,1,1756,Montreal,AB,1966,House,1,2827
600862,3,2,854,Vancouver,ON,2003,Apartment,0,4760
140881,3,2,3529,Toronto,QC,1952,Condo,1,8760
430192,5,1,2236,Toronto,ON,1983,Condo,0,8565
538766,4,2,2181,Vancouver,QC,2018,Condo,1,3244
135822,4,3,1193,Montreal,BC,2021,House,1,8135
439540,5,3,2459,Calgary,AB,1992,Condo,1,2667
265611,5,2,3845,Calgary,QC,2008,Condo,0,2600
303503,2,3,1605,Calgary,QC,2020,Apartment,0,8107
400250,2,3,2224,Toronto,AB,2016,Apartment,1,1833
719381,3,1,1854,Calgary,ON,2020,Condo,1,2762
475300,5,2,1459,Montreal,BC,1987,Condo,1,3682
276277,3,1,3214,Montreal,BC,1989,Condo,1,7344
641216,1,1,1785,Ottawa,ON,1977,Apartment,0,4417
377889,4,2,3822,Toronto,BC,1984,Condo,1,9425
441858,1,1,1465,Calgary,ON,2017,Apartment,1,2430
376586,2,3,3541,Toronto,BC,1953,Apartment,0,4397
834674,2,1,1159,Calgary,QC,1990,Apartment,1,1519
412935,2,3,2983,Ottawa,AB,1984,House,1,4295
198138,4,3,2981,Montreal,AB,1980,Apartment,1,5074
557063,2,3,1609,Vancouver,QC,1987,Apartment,0,5342
779331,5,3,2826,Calgary,ON,2004,House,0,6108
426401,4,3,1792,Montreal,ON,1969,Condo,1,7798
751752,5,2,871,Montreal,BC,2008,Condo,0,1865
623700,1,2,1772,Calgary,AB,1962,Apartment,1,4482
154161,3,2,2216,Vancouver,ON,1984,House,1,5456
959309,3,1,3094,Montreal,ON,1998,Condo,0,1059
840118,5,2,2405,Calgary,ON,2000,Condo,1,8445
621726,2,1,1832,Vancouver,ON,1981,House,0,4139
767701,4,2,3777,Ottawa,BC,1974,Apartment,1,1604
863865,5,2,3680,Ottawa,BC,1999,Apartment,0,2426
632810,4,3,1040,Vancouver,ON,1950,Apartment,0,9772
184463,3,3,1597,Montreal,ON,2004,Condo,1,8626
291360,3,3,3228,Toronto,ON,1982,Condo,0,6398
644547,3,3,2423,Calgary,ON,1976,House,0,9155
946931,2,1,1707,Ottawa,ON,1975,House,0,6770
573438,5,2,3369,Toronto,ON,1958,House,0,3855
473319,2,1,3551,Ottawa,QC,2005,Condo,1,3580
287431,3,2,3200,Ottawa,BC,2008,House,1,7067
490999,3,2,1283,Montreal,AB,2020,Apartment,0,4733
513173,1,2,3895,Vancouver,BC,1952,Condo,0,2040
138739,5,3,3048,Calgary,ON,2022,Apartment,0,6646
645654,3,2,3605,Vancouver,ON,2009,Condo,0,5668
455662,5,3,1553,Calgary,AB,2000,Apartment,1,5828
250557,3,2,2759,Vancouver,QC,1988,House,0,9638
582323,1,2,3617,Ottawa,ON,1989,Apartment,0,8205
206789,5,2,3145,Vancouver,AB,1975,House,1,2570
194209,4,1,2583,Calgary,ON,1981,Condo,0,9745
370469,5,3,2286,Toronto,BC,1966,House,0,6882
589833,5,1,2886,Ottawa,AB,2008,House,1,1018
795377,1,1,1475,Ottawa,AB,1986,Condo,0,6928
329027,2,1,1638,Vancouver,QC,1980,Apartment,0,8581
471277,4,3,1684,Calgary,ON,1989,House,1,8048
605881,3,3,1564,Vancouver,AB,2002,House,0,7872
534785,5,3,2854,Calgary,ON,1979,House,0,8635
473365,3,2,3013,Toronto,BC,1990,Condo,1,8710
925821,1,1,805,Toronto,BC,1983,House,1,5368
546918,1,2,2822,Vancouver,ON,1998,Condo,0,5325
397402,4,1,1812,Montreal,QC,2012,Condo,1,5244
990269,3,1,3587,Toronto,ON,1959,Condo,0,8244
817205,1,1,2392,Vancouver,QC,2022,Condo,1,1064
228144,5,3,2881,Montreal,QC,2002,House,0,2260
889790,3,2,2263,Toronto,ON,1989,Condo,0,4641
417879,2,3,2089,Ottawa,ON,1983,House,1,2353
534640,4,3,2480,Vancouver,ON,1979,Condo,1,4274
684862,2,3,2308,Calgary,ON,2020,Apartment,1,9281
335098,3,3,3120,Calgary,ON,2013,Apartment,0,2557
210035,1,2,1564,Ottawa,ON,2015,Apartment,0,9501
189488,2,2,2423,Calgary,QC,1957,House,1,4488
540412,4,2,2364,Calgary,BC,1980,Condo,1,7317
218310,4,2,1773,Toronto,AB,1979,Condo,1,4124
461991,2,2,2216,Ottawa,QC,2004,Condo,1,1612
749834,3,1,1618,Calgary,ON,1971,House,1,1578
892741,1,1,1553,Montreal,BC,1963,Apartment,0,2911
272046,3,2,1311,Toronto,AB,1978,House,1,4456
227456,3,1,2717,Montreal,AB,2003,Condo,1,9985
965922,4,1,2367,Vancouver,BC,2007,Apartment,1,1142
181894,2,2,939,Calgary,ON,1954,House,1,4201
338629,4,3,1441,Calgary,BC,2011,House,0,5037
926287,5,3,3008,Montreal,BC,2020,Apartment,0,7071
416478,2,2,3101,Ottawa,QC,1960,House,1,3778
323758,2,2,3270,Calgary,BC,2021,Apartment,1,9466
403465,5,3,3326,Ottawa,BC,2012,Condo,1,8150
830193,1,2,3070,Toronto,BC,1964,Condo,0,2629
798590,2,1,2465,Montreal,ON,1950,Apartment,0,3124
846899,5,1,3048,Calgary,BC,1976,Apartment,1,2852
971430,1,3,3368,Vancouver,AB,2000,Apartment,0,6223
142970,5,2,3405,Calgary,ON,1999,House,0,4205
980199,2,3,2573,Toronto,ON,2022,House,1,3208
911853,1,2,1420,Toronto,BC,1979,Apartment,0,9096
642961,4,2,1011,Ottawa,QC,2001,House,1,8482
587246,2,3,2412,Ottawa,AB,2018,Apartment,1,6449
400998,1,3,1903,Montreal,BC,1968,Condo,1,3958
951168,2,3,2019,Vancouver,ON,1964,Apartment,1,3158
655571,2,3,1276,Calgary,ON,1958,House,0,4959
480769,1,1,2700,Calgary,AB,2006,House,0,9779
598947,4,3,2425,Vancouver,BC,2012,Condo,0,9590
848672,3,2,3662,Ottawa,BC,1966,Apartment,0,9557
183048,2,3,3040,Ottawa,ON,1950,Condo,1,1210
298270,5,2,2620,Montreal,QC,1953,Condo,0,1717
877342,5,1,1758,Calgary,AB,2001,Apartment,1,1151
303085,2,3,3264,Ottawa,BC,2022,Condo,0,5526
168190,1,1,1392,Toronto,BC,1991,Apartment,0,6081
896837,2,1,3183,Montreal,ON,1988,Apartment,1,8094
419089,5,3,2102,Montreal,BC,1995,Apartment,0,6407
591060,4,2,1870,Vancouver,AB,1978,Apartment,0,3276
834035,2,1,1030,Toronto,ON,2014,Apartment,1,2704
163458,4,1,3529,Vancouver,QC,2001,House,0,7795
588941,3,2,3953,Montreal,QC,1956,Condo,1,4309
469888,1,2,3671,Montreal,BC,1955,Condo,1,3724
244910,3,3,3767,Toronto,QC,2006,Condo,1,5633
383138,1,3,3683,Ottawa,BC,1988,House,1,1065
506363,3,3,3769,Montreal,ON,2006,House,0,8765
356986,2,1,1922,Calgary,BC,1993,Condo,1,2430
178190,4,2,3536,Montreal,ON,1973,Apartment,0,7045
603022,2,1,1903,Calgary,ON,2011,House,0,9523
628338,2,1,3738,Toronto,ON,1980,Apartment,0,2211
135767,4,1,3560,Ottawa,ON,1968,Condo,0,1690
495641,5,3,3469,Vancouver,QC,1964,Apartment,0,4492
207808,1,1,3556,Montreal,AB,1986,Apartment,1,6993
881726,1,1,2302,Montreal,AB,1990,Apartment,1,5242
612771,5,1,2076,Montreal,ON,1992,House,0,7229
478591,2,1,3364,Montreal,QC,2000,Apartment,0,9438
482185,2,1,3450,Vancouver,QC,1977,Condo,0,8318
998295,3,3,3485,Toronto,ON,1960,Condo,1,9998
486895,2,3,2724,Vancouver,ON,1995,House,0,6074
596496,4,1,2006,Vancouver,BC,2014,House,1,9812
193290,1,2,3549,Montreal,ON,2017,Apartment,1,4087
476654,5,2,1227,Toronto,BC,1950,Condo,1,9045
511759,5,1,2856,Vancouver,BC,1964,Apartment,0,3888
724149,1,3,3846,Vancouver,ON,1998,Apartment,1,1408
358206,5,1,3517,Calgary,BC,2003,House,1,2569
606708,2,2,2505,Calgary,AB,1953,Condo,1,6305
909759,4,3,2545,Montreal,BC,2013,Apartment,1,8921
382694,2,3,2403,Toronto,QC,1993,Condo,0,5638
683392,2,1,2759,Montreal,AB,1958,Apartment,1,7165
586791,1,3,2358,Vancouver,BC,1970,House,0,8901
123117,3,2,3053,Toronto,ON,1988,Condo,0,6071
676701,5,1,2305,Calgary,ON,1991,Condo,1,3974
890776,3,2,891,Ottawa,AB,1962,Condo,0,6055
205688,5,3,1783,Calgary,AB,1976,Apartment,0,2059
349055,4,1,1271,Montreal,BC,1953,House,0,3302
721595,4,3,1761,Vancouver,ON,1960,Apartment,0,5199
275425,4,1,899,Calgary,ON,1956,Condo,1,8292
348705,3,3,2073,Montreal,QC,1962,Condo,1,1607
482087,1,3,1981,Calgary,ON,1998,Apartment,1,8729
413637,2,2,3927,Ottawa,QC,1970,Apartment,1,8349
672819,4,2,2961,Toronto,AB,2013,Condo,0,7389
808351,4,1,2560,Ottawa,AB,2004,Condo,0,4361
104976,4,2,1179,Vancouver,QC,2003,House,0,1325
370052,2,3,1199,Calgary,ON,1993,Condo,0,5749
504884,4,2,1393,Montreal,QC,1988,Apartment,1,9199
458489,2,2,1626,Ottawa,QC,2002,Apartment,1,9379
140222,3,1,2017,Montreal,ON,1950,Apartment,0,1775
735717,2,1,2307,Calgary,AB,1954,House,1,2801
935697,4,1,2337,Vancouver,AB,1997,Apartment,0,8175
746840,4,3,2403,Ottawa,BC,1973,Apartment,1,7143
582560,5,2,3866,Calgary,ON,2011,House,0,5515
190201,2,3,3225,Vancouver,AB,1988,House,0,8979
